,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
3264,c-n-1,Y-coord,-1.0-1.0,0.75,1040.0,380.0,26.760563380281692,51,0.0211568855160003,0.5661701757802897
3265,c-n-2,Y-coord,-1.0-1.0,0.75,952.0,468.0,32.95774647887324,51,0.0211568855160003,0.697283269118883
3266,c-n-3,Y-coord,-1.0-1.0,0.75,1034.0,386.0,27.183098591549296,51,0.0211568855160003,0.5751097048715574
3267,c-o-1,Y-coord,-1.0-1.0,0.75,1156.0,264.0,18.591549295774648,51,0.0211568855160003,0.3933392800157802
3268,c-o-2,Y-coord,-1.0-1.0,0.75,1189.0,231.0,16.267605633802816,51,0.0211568855160003,0.34417187001380767
3269,c-o-3,Y-coord,-1.0-1.0,0.75,1123.0,297.0,20.91549295774648,51,0.0211568855160003,0.4425066900177527
3270,c-o-4,Y-coord,-1.0-1.0,0.75,1120.0,300.0,21.12676056338028,51,0.0211568855160003,0.4469764545633865
3271,c-o-5,Y-coord,-1.0-1.0,0.75,1167.0,253.0,17.816901408450704,51,0.0211568855160003,0.376950143348456
3272,c-o-6,Y-coord,-1.0-1.0,0.75,1118.0,302.0,21.267605633802816,51,0.0211568855160003,0.4499562975938091
3273,c-o-7,Y-coord,-1.0-1.0,0.75,1120.0,300.0,21.12676056338028,51,0.0211568855160003,0.4469764545633865
3274,c-o-8,Y-coord,-1.0-1.0,0.75,1134.0,286.0,20.140845070422536,51,0.0211568855160003,0.42611755335042856
3275,c-p-1,Y-coord,-1.0-1.0,0.75,1131.0,289.0,20.35211267605634,51,0.0211568855160003,0.43058731789606247
3276,c-s-1,Y-coord,-1.0-1.0,0.75,1140.0,280.0,19.718309859154928,51,0.0211568855160003,0.4171780242591608
3277,n-o-1,Y-coord,-1.0-1.0,0.75,1249.0,171.0,12.04225352112676,51,0.0211568855160003,0.25477657910113033
3278,n-o-2,Y-coord,-1.0-1.0,0.75,1286.0,134.0,9.43661971830986,51,0.0211568855160003,0.1996494830383127
3279,n-o-3,Y-coord,-1.0-1.0,0.75,1191.0,229.0,16.12676056338028,51,0.0211568855160003,0.3411920269833851
3280,n-o-4,Y-coord,-1.0-1.0,0.75,1284.0,136.0,9.577464788732394,51,0.0211568855160003,0.20262932606873524
3281,n-o-5,Y-coord,-1.0-1.0,0.75,1188.0,232.0,16.338028169014084,51,0.0211568855160003,0.34566179152901894
3282,n-o-6,Y-coord,-1.0-1.0,0.75,1252.0,168.0,11.830985915492958,51,0.0211568855160003,0.25030681455549647
3283,p-n-1,Y-coord,-1.0-1.0,0.75,1273.0,147.0,10.352112676056338,51,0.0211568855160003,0.21901846273605943
